Timestamp,Memory Usage (%)
2024-01-06 20:52:43,45.98GB,1
2024-01-06 20:53:43,45.99GB,1
2024-01-06 20:54:43,45.99GB,1
2024-01-06 20:55:43,45.98GB,1
2024-01-06 20:56:43,45.99GB,1
2024-01-06 20:57:43,45.98GB,1
2024-01-06 20:58:43,45.99GB,1
2024-01-06 20:59:43,45.97GB,1
2024-01-06 21:00:43,45.98GB,1
2024-01-06 21:01:43,45.97GB,1
2024-01-06 21:02:43,45.98GB,1
2024-01-06 21:03:43,45.97GB,1
2024-01-06 21:04:43,45.97GB,1
2024-01-06 21:05:43,45.97GB,1
2024-01-06 21:06:43,45.96GB,1
2024-01-06 21:07:43,45.96GB,1
2024-01-06 21:08:43,45.96GB,1
2024-01-06 21:09:43,45.96GB,1
2024-01-06 21:10:43,45.97GB,1
2024-01-06 21:11:43,45.97GB,1
2024-01-06 21:12:43,45.97GB,1
2024-01-06 21:13:43,45.97GB,1
2024-01-06 21:14:43,45.97GB,1
2024-01-06 21:15:43,45.97GB,1
2024-01-06 21:16:43,45.96GB,1
2024-01-06 21:17:43,45.96GB,1
2024-01-06 21:18:43,45.96GB,1
2024-01-06 21:19:43,45.96GB,1
2024-01-06 21:20:43,45.96GB,1
2024-01-06 21:21:43,45.97GB,1
2024-01-06 21:22:43,45.97GB,1
2024-01-06 21:23:43,45.97GB,1
2024-01-06 21:24:43,45.97GB,1
2024-01-06 21:25:43,45.96GB,1
2024-01-06 21:26:43,45.97GB,1
2024-01-06 21:27:43,45.97GB,1
2024-01-06 21:28:43,45.97GB,1
2024-01-06 21:29:43,45.97GB,1
2024-01-06 21:30:43,45.98GB,1
2024-01-06 21:31:43,45.98GB,1
2024-01-06 21:32:43,45.97GB,1
2024-01-06 21:33:43,45.97GB,1
2024-01-06 21:34:43,45.97GB,1
2024-01-06 21:35:43,45.96GB,1
2024-01-06 21:36:43,45.96GB,1
2024-01-06 21:37:43,45.96GB,1
2024-01-06 21:38:43,45.96GB,1
2024-01-06 21:39:43,45.96GB,1
2024-01-06 21:40:43,45.96GB,1
2024-01-06 21:41:43,45.96GB,1
2024-01-06 21:42:43,45.97GB,1
2024-01-06 21:43:43,45.97GB,1
2024-01-06 21:44:43,45.98GB,1
2024-01-06 21:45:43,45.97GB,1
2024-01-06 21:46:43,45.97GB,1
2024-01-06 21:47:43,45.76GB,1
2024-01-06 21:48:43,45.76GB,1
2024-01-06 21:49:43,45.77GB,1
2024-01-06 21:50:43,45.77GB,1
2024-01-06 21:51:43,45.77GB,1
2024-01-06 21:52:43,45.76GB,1
2024-01-06 21:53:43,45.77GB,1
2024-01-06 21:54:43,45.77GB,1
2024-01-06 21:55:43,45.76GB,1
2024-01-06 21:56:43,45.76GB,1
2024-01-06 21:57:43,45.76GB,1
2024-01-06 21:58:43,45.77GB,1
2024-01-06 21:59:43,45.76GB,1
2024-01-06 22:00:43,45.76GB,1
2024-01-06 22:01:43,45.76GB,1
2024-01-06 22:02:43,45.76GB,1
2024-01-06 22:03:43,45.77GB,1
2024-01-06 22:04:43,45.76GB,1
2024-01-06 22:05:43,45.76GB,1
2024-01-06 22:06:43,45.75GB,1
2024-01-06 22:07:43,45.75GB,1
2024-01-06 22:08:43,45.75GB,1
2024-01-06 22:09:43,45.75GB,1
2024-01-06 22:10:43,45.75GB,1
2024-01-06 22:11:43,45.76GB,1
2024-01-06 22:12:43,45.76GB,1
2024-01-06 22:13:43,45.76GB,1
2024-01-06 22:14:43,45.76GB,1
2024-01-06 22:15:43,45.76GB,1
2024-01-06 22:16:43,45.75GB,1
2024-01-06 22:17:43,45.76GB,1
2024-01-06 22:18:43,45.75GB,1
2024-01-06 22:19:43,45.75GB,1
2024-01-06 22:20:43,45.75GB,1
2024-01-06 22:21:43,45.76GB,1
2024-01-06 22:22:43,45.75GB,1
2024-01-06 22:23:43,45.74GB,1
2024-01-06 22:24:43,45.74GB,1
2024-01-06 22:25:43,45.75GB,1
2024-01-06 22:26:43,45.75GB,1
