Timestamp,Memory Usage (%)
2023-10-27 01:06:44,3.32GB,1
2023-10-27 01:07:44,3.31GB,1
2023-10-27 01:08:45,3.32GB,1
2023-10-27 01:09:45,3.33GB,1
2023-10-27 01:10:45,3.41GB,1
2023-10-27 01:11:45,3.19GB,1
2023-10-27 01:12:45,3.21GB,1
2023-10-27 01:13:45,3.23GB,1
2023-10-27 01:14:45,2.86GB,1
2023-10-27 01:15:45,3.37GB,1
2023-10-27 01:16:45,3.58GB,1
2023-10-27 01:17:45,3.58GB,1
2023-10-27 01:18:45,3.58GB,1
2023-10-27 01:19:45,3.44GB,1
2023-10-27 01:20:45,3.25GB,1
2023-10-27 01:21:45,3.45GB,1
2023-10-27 01:22:45,2.92GB,1
2023-10-27 01:23:45,2.85GB,1
2023-10-27 01:24:46,2.85GB,1
2023-10-27 01:25:46,2.85GB,1
2023-10-27 01:26:46,2.86GB,1
2023-10-27 01:27:46,2.87GB,1
2023-10-27 01:28:46,2.88GB,1
2023-10-27 01:29:46,2.88GB,1
2023-10-27 01:30:46,2.89GB,1
2023-10-27 01:31:46,2.89GB,1
2023-10-27 01:32:46,2.90GB,1
2023-10-27 01:33:46,2.90GB,1
2023-10-27 01:34:46,2.90GB,1
2023-10-27 01:35:46,2.90GB,1
2023-10-27 01:36:46,2.90GB,1
2023-10-27 01:37:46,2.90GB,1
2023-10-27 01:38:46,2.90GB,1
2023-10-27 01:39:46,2.92GB,1
2023-10-27 01:40:46,2.92GB,1
2023-10-27 01:41:47,2.92GB,1
2023-10-27 01:42:47,2.92GB,1
2023-10-27 01:43:47,2.92GB,1
2023-10-27 01:44:47,2.92GB,1
2023-10-27 01:45:47,2.91GB,1
2023-10-27 01:46:47,2.92GB,1
2023-10-27 01:47:47,2.93GB,1
2023-10-27 01:48:47,2.92GB,1
2023-10-27 01:49:47,2.92GB,1
2023-10-27 01:50:47,2.92GB,1
2023-10-27 01:51:47,2.93GB,1
2023-10-27 01:52:47,2.93GB,1
2023-10-27 01:53:47,2.93GB,1
2023-10-27 01:54:47,2.93GB,1
2023-10-27 01:55:47,2.94GB,1
2023-10-27 01:56:47,2.94GB,1
2023-10-27 01:57:47,2.94GB,1
2023-10-27 01:58:47,2.94GB,1
2023-10-27 01:59:48,2.94GB,1
2023-10-27 02:00:48,2.95GB,1
2023-10-27 02:01:48,2.94GB,1
2023-10-27 02:02:48,2.95GB,1
2023-10-27 02:03:48,2.93GB,1
2023-10-27 02:04:48,2.92GB,1
2023-10-27 02:05:48,2.93GB,1
2023-10-27 02:06:48,2.92GB,1
2023-10-27 02:07:48,2.92GB,1
2023-10-27 02:08:48,2.92GB,1
2023-10-27 02:09:48,2.92GB,1
2023-10-27 02:10:48,2.93GB,1
2023-10-27 02:11:48,2.94GB,1
2023-10-27 02:12:48,2.94GB,1
2023-10-27 02:13:48,2.93GB,1
2023-10-27 02:14:48,2.94GB,1
2023-10-27 02:15:48,2.94GB,1
2023-10-27 02:16:49,2.94GB,1
2023-10-27 02:17:49,2.94GB,1
2023-10-27 02:18:49,2.94GB,1
2023-10-27 02:19:49,2.93GB,1
2023-10-27 02:20:49,2.94GB,1
2023-10-27 02:21:49,2.95GB,1
2023-10-27 02:22:49,2.94GB,1
2023-10-27 02:23:49,2.95GB,1
2023-10-27 02:24:49,2.95GB,1
2023-10-27 02:25:49,2.95GB,1
2023-10-27 02:26:49,2.94GB,1
2023-10-27 02:27:49,2.94GB,1
2023-10-27 02:28:49,2.95GB,1
2023-10-27 02:29:49,2.94GB,1
2023-10-27 02:30:49,2.95GB,1
2023-10-27 02:31:49,2.95GB,1
2023-10-27 02:32:50,2.94GB,1
2023-10-27 02:33:50,2.94GB,1
2023-10-27 02:34:50,2.95GB,1
2023-10-27 02:35:50,2.95GB,1
2023-10-27 02:36:50,2.94GB,1
2023-10-27 02:37:50,2.94GB,1
2023-10-27 02:38:50,2.94GB,1
2023-10-27 02:39:50,2.93GB,1
2023-10-27 02:40:50,2.94GB,1
2023-10-27 02:41:50,2.93GB,1
2023-10-27 02:42:50,2.94GB,1
2023-10-27 02:43:50,2.94GB,1
2023-10-27 02:44:50,2.93GB,1
2023-10-27 02:45:50,2.94GB,1
2023-10-27 02:46:50,2.93GB,1
2023-10-27 02:47:50,2.93GB,1
2023-10-27 02:48:50,2.93GB,1
2023-10-27 02:49:51,2.93GB,1
2023-10-27 02:50:51,2.93GB,1
2023-10-27 02:51:51,2.94GB,1
2023-10-27 02:52:51,2.94GB,1
2023-10-27 02:53:51,2.95GB,1
2023-10-27 02:54:51,2.95GB,1
